country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-02-2026 23:00:00,13.204880,79.097889,NO2,24,31,27
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-02-2026 23:00:00,13.204880,79.097889,NH3,5,6,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",11-02-2026 23:00:00,14.465052,78.824187,SO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",11-02-2026 23:00:00,14.465052,78.824187,OZONE,13,15,14
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",11-02-2026 23:00:00,16.9872867,81.7363176,NH3,5,6,6
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",11-02-2026 23:00:00,13.67,79.35,SO2,4,11,8
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",11-02-2026 23:00:00,13.615387,79.409230,PM10,37,109,83
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",11-02-2026 23:00:00,13.615387,79.409230,CO,20,28,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",11-02-2026 23:00:00,16.536107,80.594233,PM10,54,103,77
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-02-2026 23:00:00,26.446912,91.439057,SO2,8,8,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-02-2026 23:00:00,26.446912,91.439057,OZONE,15,16,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-02-2026 23:00:00,24.82827,92.79525,OZONE,2,8,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-02-2026 23:00:00,26.146529,87.454184,PM2.5,48,160,97
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-02-2026 23:00:00,26.146529,87.454184,NO2,1,7,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-02-2026 23:00:00,26.146529,87.454184,SO2,16,64,36
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",11-02-2026 23:00:00,25.5626095,84.663264,PM2.5,17,48,33
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",11-02-2026 23:00:00,25.5626095,84.663264,SO2,8,10,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-02-2026 23:00:00,24.75746,84.366208,NO2,7,8,8
