,latitude,Co,Nh3,No2,Pm10,Pm2.5,So2,Nitrogen_Pollutant_Index,Pm25_to_Pm10_Ratio,Pm2.5_Rolling_Mean_3,Pm10_Rolling_Mean_3,No2_Rolling_Mean_3,Co_Rolling_Mean_3,state_pollution_encoded,city_freq_encoded,AQI_Severity_Score
latitude,1.0,0.1590472702241264,0.32318046264220973,0.1157073015066168,0.2947252815187989,0.36359287492821674,0.12299096729089419,0.2584795087162011,-0.05707047401470642,0.36359287492821674,0.2947252815187989,0.1157073015066168,0.1590472702241264,0.4303059512178053,0.09611023502529582,0.2648947733248339
Co,0.1590472702241264,1.0,0.246033262669625,0.31602836339280593,0.3471636199449742,0.2785193625181168,0.11411626576293812,0.3310698758624776,-0.17872184538439898,0.2785193625181168,0.3471636199449742,0.31602836339280593,1.0,0.22075003674106639,0.15394435214614005,0.2872589648338253
Nh3,0.32318046264220973,0.246033262669625,1.0,0.44120194291310905,0.3350450375661297,0.3461930180247891,-0.011711848707969237,0.8488021348164825,-0.10262831261666731,0.3461930180247891,0.3350450375661297,0.44120194291310905,0.24603326266962502,0.30967638895671157,0.2213998149753637,0.3086366677889642
No2,0.1157073015066168,0.31602836339280593,0.44120194291310905,1.0,0.4586180955585445,0.36971446219481835,0.07057525714050354,0.8489622244887077,-0.12054496844753271,0.36971446219481835,0.4586180955585445,1.0,0.31602836339280593,0.33121715251055606,0.33311626814634704,0.31183220590244587
Pm10,0.2947252815187989,0.3471636199449742,0.3350450375661297,0.4586180955585445,1.0,0.7811175795001813,0.11966375802654784,0.4674931258907423,-0.42801582718913767,0.7811175795001813,1.0,0.45861809555854455,0.34716361994497424,0.5775167244991922,0.43989655213174444,0.7397274589499796
Pm2.5,0.36359287492821674,0.2785193625181168,0.3461930180247891,0.36971446219481835,0.7811175795001813,1.0,0.10987958158182298,0.421679946449618,-0.20651336841335435,1.0,0.7811175795001813,0.36971446219481824,0.2785193625181168,0.6650309527680488,0.43038186879472096,0.9007291824384533
So2,0.12299096729089419,0.11411626576293812,-0.011711848707969237,0.07057525714050354,0.11966375802654784,0.10987958158182298,1.0,0.034682916170364536,-0.06644550209914192,0.109879581581823,0.11966375802654787,0.07057525714050357,0.11411626576293812,0.11092707977237917,0.13301862461153338,0.0704224852386543
Nitrogen_Pollutant_Index,0.2584795087162011,0.3310698758624776,0.8488021348164825,0.8489622244887077,0.4674931258907423,0.421679946449618,0.034682916170364536,1.0,-0.13145383337585867,0.4216799464496179,0.4674931258907423,0.8489622244887075,0.3310698758624775,0.37749571186256525,0.32663145290114365,0.3654627529451704
Pm25_to_Pm10_Ratio,-0.05707047401470642,-0.17872184538439898,-0.10262831261666731,-0.12054496844753271,-0.42801582718913767,-0.20651336841335435,-0.06644550209914192,-0.13145383337585867,1.0,-0.20651336841335435,-0.4280158271891376,-0.12054496844753268,-0.17872184538439898,-0.13152673701863557,-0.08275237617546903,-0.24604721030672966
Pm2.5_Rolling_Mean_3,0.36359287492821674,0.2785193625181168,0.3461930180247891,0.36971446219481835,0.7811175795001813,1.0,0.109879581581823,0.4216799464496179,-0.20651336841335435,1.0,0.7811175795001813,0.36971446219481824,0.2785193625181168,0.6650309527680488,0.43038186879472096,0.9007291824384533
Pm10_Rolling_Mean_3,0.2947252815187989,0.3471636199449742,0.3350450375661297,0.4586180955585445,1.0,0.7811175795001813,0.11966375802654787,0.4674931258907423,-0.4280158271891376,0.7811175795001813,1.0,0.45861809555854455,0.34716361994497424,0.5775167244991922,0.43989655213174444,0.7397274589499796
No2_Rolling_Mean_3,0.1157073015066168,0.31602836339280593,0.44120194291310905,1.0,0.45861809555854455,0.36971446219481824,0.07057525714050357,0.8489622244887075,-0.12054496844753268,0.36971446219481824,0.45861809555854455,1.0,0.31602836339280593,0.33121715251055606,0.33311626814634704,0.31183220590244587
Co_Rolling_Mean_3,0.1590472702241264,1.0,0.24603326266962502,0.31602836339280593,0.34716361994497424,0.2785193625181168,0.11411626576293812,0.3310698758624775,-0.17872184538439898,0.2785193625181168,0.34716361994497424,0.31602836339280593,1.0,0.22075003674106639,0.15394435214614005,0.2872589648338253
state_pollution_encoded,0.4303059512178053,0.22075003674106639,0.30967638895671157,0.33121715251055606,0.5775167244991922,0.6650309527680488,0.11092707977237917,0.37749571186256525,-0.13152673701863557,0.6650309527680488,0.5775167244991922,0.33121715251055606,0.22075003674106639,1.0,0.6813335505694416,0.5515212201767007
city_freq_encoded,0.09611023502529582,0.15394435214614005,0.2213998149753637,0.33311626814634704,0.43989655213174444,0.43038186879472096,0.13301862461153338,0.32663145290114365,-0.08275237617546903,0.43038186879472096,0.43989655213174444,0.33311626814634704,0.15394435214614005,0.6813335505694416,1.0,0.3288633298226168
AQI_Severity_Score,0.2648947733248339,0.2872589648338253,0.3086366677889642,0.31183220590244587,0.7397274589499796,0.9007291824384533,0.0704224852386543,0.3654627529451704,-0.24604721030672966,0.9007291824384533,0.7397274589499796,0.31183220590244587,0.2872589648338253,0.5515212201767007,0.3288633298226168,1.0
