index,correlation
Pm2.5,1.0
Pm2.5_Rolling_Mean_3,1.0
AQI_Severity_Score,0.9007291824384533
Pm10,0.7811175795001813
Pm10_Rolling_Mean_3,0.7811175795001813
state_pollution_encoded,0.6650309527680488
city_freq_encoded,0.43038186879472096
Nitrogen_Pollutant_Index,0.421679946449618
No2,0.36971446219481835
No2_Rolling_Mean_3,0.36971446219481824
latitude,0.36359287492821674
Nh3,0.3461930180247891
Co_Rolling_Mean_3,0.2785193625181168
Co,0.2785193625181168
So2,0.10987958158182298
Pm25_to_Pm10_Ratio,-0.20651336841335435
