,count,mean,std,min,25%,50%,75%,max,median,missing_count
latitude,486.0,22.96099994277778,5.228967550289914,8.5149093,19.119503825000002,23.504462,27.198648747500002,34.066206,23.504462,0
Co,486.0,0.5495738913558829,0.2834925861336709,0.0,0.34559097750242374,0.557003516527611,0.760347431774821,0.9999999999999998,0.557003516527611,0
Nh3,486.0,0.5416819118444066,0.27916412641456795,0.0,0.3280022782022379,0.5504114078641149,0.7615977049448371,1.0,0.5504114078641149,0
No2,486.0,0.5284465692015077,0.2792999424630936,0.0,0.31651954229601176,0.540543770795601,0.7428303240185531,1.0,0.540543770795601,0
Pm10,486.0,0.5016494936338551,0.2592122267894032,0.0,0.3385372399269654,0.5016372857841502,0.6555041777917401,1.0,0.5016372857841502,0
Pm2.5,486.0,118.42390260631001,61.86171154073993,41.9,73.6,98.8,148.0,261.25,98.8,0
So2,486.0,0.4820048169524391,0.2833143418414862,0.0,0.2771188809298571,0.4854260868956733,0.6985197468368646,1.0,0.4854260868956733,0
Nitrogen_Pollutant_Index,486.0,1.0701284810459144,0.4740702069178995,0.0,0.7410422203760237,1.0904623433513425,1.4121217319410178,2.0,1.0904623433513425,0
Pm25_to_Pm10_Ratio,486.0,282416.39114857087,1278541.9632751069,75.08818309574455,187.73257161609416,235.1955454026175,297.32272013730255,9879999.999999998,235.1955454026175,0
Pm2.5_Rolling_Mean_3,486.0,118.42390260631001,61.86171154073993,41.9,73.6,98.8,148.0,261.25,98.8,0
Pm10_Rolling_Mean_3,486.0,0.5016494936338551,0.2592122267894032,0.0,0.3385372399269654,0.5016372857841502,0.6555041777917401,1.0,0.5016372857841502,0
No2_Rolling_Mean_3,486.0,0.5284465692015077,0.2792999424630936,0.0,0.31651954229601176,0.540543770795601,0.7428303240185531,1.0,0.540543770795601,0
Co_Rolling_Mean_3,486.0,0.5495738913558829,0.2834925861336709,0.0,0.34559097750242374,0.557003516527611,0.760347431774821,0.9999999999999998,0.557003516527611,0
state_pollution_encoded,486.0,110.8882716049383,49.01673500565637,41.9,91.0,95.9,99.125,255.4,95.9,0
city_freq_encoded,486.0,0.01585970973259496,0.023046424733224744,0.00205761316872428,0.00205761316872428,0.006172839506172839,0.01440329218106996,0.08024691358024691,0.006172839506172839,0
AQI_Severity_Score,486.0,3.8847736625514404,1.1836927411143334,2.0,3.0,4.0,5.0,6.0,4.0,0
