feature,importance
num__Pm10_Rolling_Mean_3,0.39040605459968647
num__Pm10,0.3839393797487662
num__state_pollution_encoded,0.04364493152068273
num__latitude,0.038239573191586426
num__So2,0.03540890652932733
num__Nh3,0.020532807852897867
num__Nitrogen_Pollutant_Index,0.01868937698974887
num__No2_Rolling_Mean_3,0.016465263847533582
num__No2,0.015045541723405654
num__Co_Rolling_Mean_3,0.012252771694794594
num__Co,0.011664322938933777
num__city_freq_encoded,0.007837932066171071
cat__city_Pune,0.002370379301200587
cat__state_Rajasthan,0.0006521887957127747
cat__state_Bihar,0.00035135923848244997
cat__state_Uttar_Pradesh,0.0002887283088526269
cat__state_Maharashtra,0.0002789617626097969
cat__state_Andhra_Pradesh,0.00027701393533709304
cat__state_Haryana,0.00026585633934179156
cat__state_Gujarat,0.0002489167702318486
cat__state_Tamilnadu,0.00020702839176264505
cat__city_Mumbai,0.0002027667103759281
cat__state_West_Bengal,0.00015596158163871528
cat__city_Ahmedabad,0.00010424061993963023
cat__state_Madhya Pradesh,0.00010406102047607967
cat__state_Odisha,7.061468109386794e-05
cat__state_Kerala,6.946513391176095e-05
cat__city_Nagpur,5.545054553806864e-05
cat__city_Delhi,4.4476917103250085e-05
cat__city_Patna,4.254764701561526e-05
cat__state_Delhi,2.568217129719389e-05
cat__city_Indore,2.0933333974949917e-05
cat__city_Bengaluru,1.662640332122298e-05
cat__city_Moradabad,1.162558675830424e-05
cat__state_Karnataka,5.362711808575848e-06
cat__city_Hyderabad,2.23286315315479e-06
cat__state_Chhattisgarh,6.565255272941128e-07
cat__city_Anantapur,0.0
cat__city_Amritsar,0.0
cat__city_Araria,0.0
cat__city_Arrah,0.0
cat__city_Asansol,0.0
cat__city_Aurangabad,0.0
cat__city_Baddi,0.0
cat__city_Bagalkot,0.0
cat__city_Baghpat,0.0
cat__city_Amaravati,0.0
cat__city_Agra,0.0
cat__city_Ahmednagar,0.0
cat__city_Akola,0.0
cat__city_Ajmer,0.0
cat__city_Amravati,0.0
cat__state_Assam,0.0
cat__state_Jharkhand,0.0
cat__state_Jammu_And_Kashmir,0.0
cat__state_Sikkim,0.0
cat__state_Punjab,0.0
cat__state_Meghalaya,0.0
cat__state_Telangana,0.0
cat__state_Uttarakhand,0.0
cat__state_Arunachal_Pradesh,0.0
cat__state_Himachal Pradesh,0.0
cat__state_Chandigarh,0.0
cat__city_Bhilai,0.0
cat__city_Bhavnagar,0.0
cat__city_Bharatpur,0.0
cat__city_Bhilwara,0.0
cat__city_Bihar Sharif,0.0
cat__city_Bikaner,0.0
cat__city_Bhopal,0.0
cat__city_Bhiwadi,0.0
cat__city_Bulandshahr,0.0
cat__city_Bundi,0.0
cat__city_Byasanagar,0.0
cat__city_Byrnihat,0.0
cat__city_Chamarajanagar,0.0
cat__city_Chandigarh,0.0
cat__city_Bilaspur,0.0
cat__city_Bhubaneswar,0.0
cat__city_Charkhi Dadri,0.0
cat__city_Chennai,0.0
cat__city_Chhapra,0.0
cat__city_Chhal,0.0
cat__city_Chikkamagaluru,0.0
cat__city_Chittoor,0.0
cat__city_Chittorgarh,0.0
cat__city_Chikkaballapur,0.0
cat__city_Churu,0.0
cat__city_Coimbatore,0.0
cat__city_Damoh,0.0
cat__city_Cuttack,0.0
cat__city_Dausa,0.0
cat__city_Dehradun,0.0
cat__city_Chandrapur,0.0
cat__city_Bileipada,0.0
cat__city_Dhanbad,0.0
cat__city_Dewas,0.0
cat__city_Dharuhera,0.0
cat__city_Dholpur,0.0
cat__city_Eloor,0.0
cat__city_Faridabad,0.0
cat__city_Dhule,0.0
cat__city_Dungarpur,0.0
cat__city_Gandhinagar,0.0
cat__city_Gangtok,0.0
cat__city_Gaya,0.0
cat__city_Ghaziabad,0.0
cat__city_Gorakhpur,0.0
cat__city_Greater Noida,0.0
cat__city_Fatehabad,0.0
cat__city_Angul,0.0
